,MSE,RMSE,R2_Score,Train_Time
0,8.74148E-05,0.009349591,0.862694185,0
1,0.000202998,0.014247751,0.95107602,117.8884475
2,8.59E-05,0.009267512,0.942749129,147.3105488
3,5.69E-04,0.023857602,0.971560514,180.4715095
4,0.000450968,0.021235998,0.948672734,207.3884559
