,MSE,RMSE,R2_Score,Train_Time
0,0.001088057,0.032985713,0.737770871,0
1,0.000228818,0.015126718,0.944853416,143.7789888
2,0.000110306,0.01050266,0.926471723,179.0684941
3,2.32E-04,0.015233416,0.988405212,215.0318651
4,0.000356217,0.018873717,0.959456833,251.950314
