,MSE,RMSE,R2_Score,Train_Time
0,9.85E-05,0.009927079,0.861439278,0
1,0.000258888,0.016089993,0.938144871,47.18599963
2,5.39E-05,7.34E-03,0.963602479,73.52999496
3,0.000407152,0.020178016,0.979568256,92.77700067
4,2.70E-04,0.016427616,0.968899491,134.3899958
